Shopify SKU/Variant SKU,Shopify Product ID,Product Type,Supplier Type,Supplier Name,Supplier Sub Brands,Variant Size,Variant Color,Supplier Product Name,Keepers Collective Product Name,Supplier SKU,One Time Set Up Fee,Quote Number,Keepers Collective Product Shot Link,Inventory on Hand,Enforced Multiple Quantity,Base Lead Time,Start Production,End Production,Additional Lead Time Notes,Different cost based on quantity?,Ship to (Eggers or Customer),Proof Number,Supplier Proof Link,Logo Name,Logo Color,Logo Size,Decoration Location,Decoration Type,Artwork/Logo Vector URL,Supplier Decorated or Blank Product,Minimum Order Quantity,Maximum Order Quantity,Price Level/Volume Quantity_1,Wholesale Cost Per Item_1,Sale Price Per Volume_1,Price Level/Volume Quantity_2,Wholesale Cost Per Item_2,Sale Price Per Volume_2,Price Level/Volume Quantity_3,Wholesale Cost Per Item_3,Sale Price Per Volume_3,Price Level/Volume Quantity_4,Wholesale Cost Per Item_4,Sale Price Per Volume_4,Price Level/Volume Quantity_5,Wholesale Cost Per Item_5,Sale Price Per Volume_5,,
C-01-0-10_525-MT-DUFFLE-0-0-10-STD-W,4464099426362,Single Supplier,Supplier,Hirsh Gift ,Matador,,Black,Matador Transit30 2.0 Weatherproof Duffle Bag,Transit30 2.0 Weatherproof Duffle Bag | Chase,MT-DUFFLE,$45.00,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-01-0-10_525-MT-DUFFLE-0-0-10-STD-W.png?v=1607631720,,,10-15 Business Days,10 Business Days,15 Business Days ,,No,Customer,Chase-MT-Duffleb,,Chase Octagon,White,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_WHITE.pdf?v=1608221527,Hirsh Gift,6,200,6,32.39,48.35,36,32.39,46.28,96,32.39,44.38,200,32.39,43.19,,,,,
J-01-0-10_525-MT-FLY16-0-0-10-STD-W,4573103292474,Single Supplier,Supplier,Hirsh Gift ,Matador,,Black,Matador Freefly26 Packable Daypack,Freefly16 Packable Daypack Backpack | J.P. Morgan,MT-FLY16,$45.00,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-01-0-10_525-MT-FLY16-0-0-10-STD-W.png?v=1602728348,,,10-15 Business Days,10 Business Days,15 Business Days ,,No,Customer,JPM-MT-Fly16,,J.P. Morgan,White,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,Hirsh Gift,6,200,6,35.39,52.82,36,35.39,50.56,96,35.39,48.48,200,35.39,47.19,,,,,
C-01-0-10_525-MT-FLY16-0-0-10-STD-W,4464087236666,Single Supplier,Supplier,Hirsh Gift ,Matador,,Black,Matador Freefly26 Packable Daypack,Freefly16 Packable Daypack Backpack | Chase,MT-FLY16,$45.00,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-01-0-10_525-MT-FLY16-0-0-10-STD-W.png?v=1602728402,,,10-15 Business Days,10 Business Days,15 Business Days ,,No,Customer,Chase-MT-Fly16,,Chase Octagon,White,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_WHITE.pdf?v=1608221527,Hirsh Gift,6,200,6,35.39,52.82,36,35.39,50.56,96,35.39,48.48,200,35.39,47.19,,,,,
J-01-0-117-Cross_Body_Bag -Navy-0-117-STD-W,4567076143162,Single Supplier,Supplier,Flip & Tumble,Flip & Tumble,"12"" x 13""",Navy,cross body bag,Cross-Body Bag | J.P. Morgan,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-01-0-117-Cross_Body_Bag-Navy-0-117-STD-W.jpg?v=1602298864,,,10 Business Days,5 Business Days,10 Business Days,"2,500+ 130 Days ",Yes,Customer,CROSS BODY BAG PROOF - Straight Up - JP Morgan - navy - V1,,J.P. Morgan,See Proof,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_WHITE.pdf?v=1608221527,Flip & Tumble,50,1000,50,19.96,29.79,144,19.37,27.68,288,18.62,25.51,1000,17.20,22.93,,,,,
 J-01-0-117-Cross_Body_Bag -Grey-0-117-STD-BLK,4567076143162,Single Supplier,Supplier,Flip & Tumble,Flip & Tumble,"12"" x 13""",Grey,cross body bag,Cross-Body Bag | J.P. Morgan,,,,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/20201006-StraightUp-JPMorgan-CrossbodyLightGrey.jpg?v=1602298880,,,10 Business Days,5 Business Days,10 Business Days,"2,500+ 130 Days ",Yes,Customer,CROSS BODY BAG PROOF - Straight Up - JP Morgan - grey - V1,,J.P. Morgan,See Proof,See Proof,See Proof,Screen Print,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,Flip & Tumble,50,1000,50,19.96,29.79,144,19.37,27.68,288,18.62,25.51,1000,17.20,22.93,,,,,
J-09-0-35-9047-0-0-35-STD-4CP,4606821630010,Single Supplier,Supplier,HIT Promotional Products ,PPE Basics,1oz,,1 oz. Hand Sanitizer ,Hand Sanitizer 1oz | J.P. Morgan,9047,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-09-0-35-9047-0-0-35-STD-4CP.jpg?v=1606765717,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,See Proof,See Proof,See Proof,4CP,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,HIT Promotional Products ,100,100,100,0.76,1.25,,,,,,,,,,,,,,
C-09-0-35-9047-0-0-35-STD-4CP,4606819860538,Single Supplier,Supplier,HIT Promotional Products ,PPE Basics,1oz,,1 oz. Hand Sanitizer ,Hand Sanitizer 1oz | Chase,9047,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-09-0-35-9047-0-0-35-STD-4CP.jpg?v=1606765508,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,Chase Octagon,See Proof,See Proof,See Proof,4CP,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_COLOR.pdf?v=1608221527,HIT Promotional Products ,100,100,100,0.76,1.25,,,,,,,,,,,,,,
J-09-0-35-9055_CLRBLK_Clear_Label-Black-0-35-STD-4CP,4606813372474,Single Supplier,Supplier,HIT Promotional Products ,PPE Basics,1.8oz,,1.8 oz. Hand sanitizer with Carabiner,Hand Sanitizer with Carabiner 1.8oz | J.P. Morgan,9055,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-09-0-35-9055_CLRBLK_Clear_Label-Black-0-35-STD-4CP.jpg?v=1606764838,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,See Proof,See Proof,See Proof,4CP,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,HIT Promotional Products ,100,100,100,0.92,2.65,,,,,,,,,,,,,,
 J-09-0-35-9055_CLRWHT_White_Label-White-0-35-STD-4CP,4606813372474,Single Supplier,Supplier,HIT Promotional Products ,PPE Basics,1.8oz,,1.8 oz. Hand sanitizer with Carabiner,Hand Sanitizer with Carabiner 1.8oz | J.P. Morgan,9055,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/J-09-0-35-9055_CLRWHT_White_Label-White-0-35-STD-4CP.jpg?v=1606764838,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,J.P. Morgan,See Proof,See Proof,See Proof,4CP,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/JPMORGAN_BLACK.pdf?v=1608221527,HIT Promotional Products ,100,100,100,0.92,2.65,,,,,,,,,,,,,,
C-09-0-35-9055_CLRBLK_Clear_Label-Black-0-35-STD-4CP,4606810554426,Single Supplier,Supplier,HIT Promotional Products ,PPE Basics,1.8oz,,1.8 oz. Hand sanitizer with Carabiner,Hand Sanitizer with Carabiner 1.8oz | Chase,9055,,322445,https://cdn.shopify.com/s/files/1/0258/0883/0522/products/C-09-0-35-9055_CLRBLK_Clear_Label-Black-0-35-STD-4CP.jpg?v=1606764771,,,5-7 Business Days,5 Business Days,7 Business Days,,No,Customer,,,Chase Octagon,See Proof,See Proof,See Proof,4CP,https://cdn.shopify.com/s/files/1/0258/0883/0522/files/CHASE_COLOR.pdf?v=1608221527,HIT Promotional Products ,100,100,100,0.92,2.65,,,,,,,,,,,,,,
